,년월,구,사망자수,중상자수,경상자수,부상신고자수,사건수,ARI,맑음,흐림,비,눈,안개,인구수
0,2022-01,대덕구,2,20,133,6,129,103.1527992833932,31.0,0.0,0.0,0.0,0.0,337416
1,2022-01,동구,0,41,166,2,138,125.2247978636819,31.0,0.0,0.0,0.0,0.0,437280
2,2022-01,서구,0,115,560,20,488,424.6083489523022,31.0,0.0,0.0,0.0,0.0,917806
3,2022-01,유성구,1,23,227,6,181,157.1702898133105,30.0,0.0,0.0,1.0,0.0,738622
4,2022-01,중구,1,34,222,5,176,157.8131806916013,31.0,0.0,0.0,0.0,0.0,449064
5,2022-02,대덕구,1,27,61,4,75,59.73692325521963,27.0,1.0,0.0,0.0,0.0,337416
6,2022-02,동구,0,28,163,2,124,114.7006974695446,28.0,0.0,0.0,0.0,0.0,437280
7,2022-02,서구,0,88,507,6,444,373.6097562965935,28.0,0.0,0.0,0.0,0.0,917806
8,2022-02,유성구,2,19,161,6,124,112.605506082074,27.0,0.0,0.0,1.0,0.0,738622
9,2022-02,중구,0,30,132,2,117,100.7285957412293,28.0,0.0,0.0,0.0,0.0,449064
10,2022-03,대덕구,1,25,113,9,105,90.73174747573199,27.0,1.0,2.0,0.0,0.0,337416
11,2022-03,동구,2,39,206,0,185,154.3000324044036,27.0,1.0,3.0,0.0,0.0,437280
12,2022-03,서구,7,121,637,10,548,474.5863988780125,29.0,1.0,1.0,0.0,0.0,917806
13,2022-03,유성구,3,31,263,8,182,177.5873024740226,28.0,0.0,3.0,0.0,0.0,738622
14,2022-03,중구,2,30,153,13,140,121.2476803901831,29.0,0.0,2.0,0.0,0.0,449064
15,2022-04,대덕구,2,27,151,2,136,113.6001760562016,30.0,0.0,0.0,0.0,0.0,337416
16,2022-04,동구,0,22,156,7,132,113.6320817375093,29.0,0.0,1.0,0.0,0.0,437280
17,2022-04,서구,6,115,581,17,507,439.8891905923581,29.0,0.0,1.0,0.0,0.0,917806
18,2022-04,유성구,0,44,235,11,200,176.1391495380854,29.0,0.0,1.0,0.0,0.0,738622
19,2022-04,중구,5,50,197,2,178,155.0806241927082,29.0,0.0,1.0,0.0,0.0,449064
20,2022-05,대덕구,2,25,168,13,151,128.5155632598636,31.0,0.0,0.0,0.0,0.0,337416
21,2022-05,동구,7,33,171,3,154,131.8256424221024,31.0,0.0,0.0,0.0,0.0,437280
22,2022-05,서구,0,126,694,15,610,517.0408591204374,31.0,0.0,0.0,0.0,0.0,917806
23,2022-05,유성구,0,62,245,7,198,185.6071119327059,31.0,0.0,0.0,0.0,0.0,738622
24,2022-05,중구,0,49,230,3,193,170.8603230712151,31.0,0.0,0.0,0.0,0.0,449064
25,2022-06,대덕구,0,34,169,4,140,124.948989591753,29.0,0.0,1.0,0.0,0.0,337416
26,2022-06,동구,0,28,176,0,142,124.2779143693681,29.0,0.0,1.0,0.0,0.0,437280
27,2022-06,서구,0,111,594,23,524,448.4863431588525,29.0,0.0,1.0,0.0,0.0,917806
28,2022-06,유성구,4,45,216,9,188,166.1475248085267,27.0,0.0,3.0,0.0,0.0,738622
29,2022-06,중구,0,51,253,3,201,183.4734313190877,29.0,0.0,1.0,0.0,0.0,449064
30,2022-07,대덕구,0,27,188,8,159,136.9397677813133,28.0,1.0,2.0,0.0,0.0,337416
31,2022-07,동구,0,31,209,0,167,146.1925100680606,28.0,1.0,2.0,0.0,0.0,437280
32,2022-07,서구,0,118,662,10,560,484.1745553000488,29.0,0.0,2.0,0.0,0.0,917806
33,2022-07,유성구,0,39,246,7,176,170.4699386988803,28.0,0.0,3.0,0.0,0.0,738622
34,2022-07,중구,0,26,213,2,181,150.7000331784967,28.0,1.0,2.0,0.0,0.0,449064
35,2022-08,대덕구,2,20,124,4,115,94.50529085717899,27.0,2.0,2.0,0.0,0.0,337416
36,2022-08,동구,0,41,134,6,128,110.843357942639,28.0,1.0,2.0,0.0,0.0,437280
37,2022-08,서구,0,85,671,2,542,465.9205940930278,26.0,0.0,5.0,0.0,0.0,917806
38,2022-08,유성구,3,28,144,15,140,118.0042372120595,28.0,0.0,3.0,0.0,0.0,738622
39,2022-08,중구,0,31,200,3,162,142.3024947075771,25.0,1.0,5.0,0.0,0.0,449064
40,2022-09,대덕구,0,42,240,28,191,182.0583697609094,29.0,1.0,0.0,0.0,0.0,337416
41,2022-09,동구,5,39,107,2,119,96.91491113342673,29.0,1.0,0.0,0.0,0.0,437280
42,2022-09,서구,2,152,686,8,561,508.3859262410792,29.0,0.0,1.0,0.0,0.0,917806
43,2022-09,유성구,1,38,268,12,185,184.3813981940694,29.0,0.0,1.0,0.0,0.0,738622
44,2022-09,중구,0,49,231,3,224,180.4612146695239,29.0,0.0,1.0,0.0,0.0,449064
45,2022-10,대덕구,5,27,215,3,169,150.8815760787247,31.0,0.0,0.0,0.0,0.0,337416
46,2022-10,동구,3,36,188,0,163,139.7300969726995,30.0,0.0,1.0,0.0,0.0,437280
47,2022-10,서구,0,119,788,13,649,562.9389398504957,30.0,0.0,1.0,0.0,0.0,917806
48,2022-10,유성구,1,43,272,22,228,203.8553408669981,30.0,0.0,1.0,0.0,0.0,738622
49,2022-10,중구,0,29,197,7,158,140.759546745505,30.0,0.0,1.0,0.0,0.0,449064
50,2022-11,대덕구,0,39,202,12,193,159.1053110364327,29.0,0.0,1.0,0.0,0.0,337416
51,2022-11,동구,4,22,207,8,166,146.3190008167087,27.0,1.0,2.0,0.0,0.0,437280
52,2022-11,서구,2,87,700,12,591,497.7152800547719,29.0,0.0,1.0,0.0,0.0,917806
53,2022-11,유성구,0,49,245,18,225,192.3336943959638,29.0,0.0,1.0,0.0,0.0,738622
54,2022-11,중구,0,30,234,10,179,163.6436677662781,29.0,1.0,0.0,0.0,0.0,449064
55,2022-12,대덕구,1,44,136,8,137,116.7154659845901,27.0,1.0,0.0,3.0,0.0,337416
56,2022-12,동구,4,27,173,10,124,123.664869708418,30.0,0.0,0.0,1.0,0.0,437280
57,2022-12,서구,8,108,684,15,602,506.6135114660879,30.0,0.0,0.0,1.0,0.0,917806
58,2022-12,유성구,4,22,203,9,149,140.3967592218567,27.0,1.0,0.0,3.0,0.0,738622
59,2022-12,중구,2,48,267,6,234,199.4273050512392,28.0,1.0,0.0,2.0,0.0,449064
60,2023-01,대덕구,0,30,153,7,139,117.7083259587018,31.0,0.0,0.0,0.0,0.0,337416
61,2023-01,동구,0,41,150,8,144,122.8179547134701,30.0,0.0,1.0,0.0,0.0,437280
62,2023-01,서구,6,88,683,13,585,491.5091555607078,29.0,0.0,2.0,0.0,0.0,917806
63,2023-01,유성구,2,21,158,1,127,110.9650845987151,28.0,2.0,1.0,0.0,0.0,738622
64,2023-01,중구,3,57,202,1,174,157.6745064999412,30.0,1.0,0.0,0.0,0.0,449064
65,2023-02,대덕구,0,25,116,5,95,87.0933407328023,27.0,0.0,1.0,0.0,0.0,337416
66,2023-02,동구,1,32,141,2,133,110.3007252922663,26.0,1.0,1.0,0.0,0.0,437280
67,2023-02,서구,12,146,610,4,533,469.061030144266,28.0,0.0,0.0,0.0,0.0,917806
68,2023-02,유성구,0,31,220,28,171,163.6169306642806,28.0,0.0,0.0,0.0,0.0,738622
69,2023-02,중구,0,41,162,6,147,127.7595397612249,28.0,0.0,0.0,0.0,0.0,449064
70,2023-03,대덕구,1,29,218,14,166,155.0806241927082,30.0,0.0,1.0,0.0,0.0,337416
71,2023-03,동구,0,45,257,3,206,184.0251341529194,31.0,0.0,0.0,0.0,0.0,437280
72,2023-03,서구,0,97,687,26,531,484.2677461900596,31.0,0.0,0.0,0.0,0.0,917806
73,2023-03,유성구,0,45,181,6,168,143.2201103197453,30.0,0.0,1.0,0.0,0.0,738622
74,2023-03,중구,0,24,172,6,156,127.6126952932192,31.0,0.0,0.0,0.0,0.0,449064
75,2023-04,대덕구,2,47,186,18,154,148.0920321961989,27.0,1.0,2.0,0.0,0.0,337416
76,2023-04,동구,2,39,180,5,171,141.7012702836499,28.0,1.0,1.0,0.0,0.0,437280
77,2023-04,서구,9,134,545,13,512,434.0348488312891,27.0,0.0,3.0,0.0,0.0,917806
78,2023-04,유성구,1,37,220,3,176,157.3983799154235,28.0,1.0,1.0,0.0,0.0,738622
79,2023-04,중구,0,59,170,2,166,142.2295679526588,29.0,0.0,1.0,0.0,0.0,449064
80,2023-05,대덕구,3,35,166,21,156,136.8950327805943,28.0,0.0,3.0,0.0,0.0,337416
81,2023-05,동구,0,37,202,2,165,146.0359544769712,29.0,0.0,2.0,0.0,0.0,437280
82,2023-05,서구,3,117,781,29,676,574.8643318209959,28.0,0.0,3.0,0.0,0.0,917806
83,2023-05,유성구,0,39,238,9,199,174.2103613451278,28.0,0.0,3.0,0.0,0.0,738622
84,2023-05,중구,0,49,239,3,216,181.202235085553,26.0,2.0,3.0,0.0,0.0,449064
85,2023-06,대덕구,0,25,154,9,150,120.2538980657176,28.0,1.0,1.0,0.0,0.0,337416
86,2023-06,동구,0,31,216,9,194,160.6019925156596,28.0,0.0,2.0,0.0,0.0,437280
87,2023-06,서구,11,138,577,27,583,476.155961844436,28.0,0.0,2.0,0.0,0.0,917806
88,2023-06,유성구,0,44,235,9,191,172.7896119562747,29.0,0.0,1.0,0.0,0.0,738622
89,2023-06,중구,0,49,215,6,196,166.8202625582396,28.0,0.0,2.0,0.0,0.0,449064
90,2023-07,대덕구,0,27,158,11,138,119.8540779448075,26.0,1.0,3.0,0.0,0.0,337416
91,2023-07,동구,2,44,180,14,176,148.8086019019062,25.0,1.0,5.0,0.0,0.0,437280
92,2023-07,서구,4,143,622,22,606,498.2261032904639,26.0,0.0,5.0,0.0,0.0,917806
93,2023-07,유성구,3,41,256,10,192,182.3211452355431,23.0,0.0,8.0,0.0,0.0,738622
94,2023-07,중구,0,31,270,0,190,177.9754196511417,22.0,2.0,7.0,0.0,0.0,449064
95,2023-08,대덕구,0,21,195,19,161,142.4306848961978,29.0,0.0,2.0,0.0,0.0,337416
96,2023-08,동구,2,43,192,13,170,151.1621645783097,29.0,0.0,2.0,0.0,0.0,437280
97,2023-08,서구,2,115,619,20,556,469.2206304074875,29.0,0.0,2.0,0.0,0.0,917806
98,2023-08,유성구,4,45,202,24,180,164.335784295448,28.0,0.0,3.0,0.0,0.0,738622
99,2023-08,중구,2,43,223,2,194,166.23477373883,29.0,0.0,2.0,0.0,0.0,449064
100,2023-09,대덕구,9,39,196,8,191,158.1020240224647,27.0,0.0,3.0,0.0,0.0,337416
101,2023-09,동구,1,31,272,4,207,185.5485111769965,26.0,0.0,4.0,0.0,0.0,437280
102,2023-09,서구,6,97,768,41,627,553.3699034100066,27.0,0.0,3.0,0.0,0.0,917806
103,2023-09,유성구,1,40,239,17,205,180.4397406338194,27.0,0.0,3.0,0.0,0.0,738622
104,2023-09,중구,5,45,213,9,200,168.8075827680735,26.0,1.0,3.0,0.0,0.0,449064
105,2023-10,대덕구,0,37,154,12,142,123.8678731552294,31.0,0.0,0.0,0.0,0.0,337416
106,2023-10,동구,3,53,189,2,178,152.2276256137499,30.0,0.0,1.0,0.0,0.0,437280
107,2023-10,서구,0,105,658,22,555,480.6896087913697,31.0,0.0,0.0,0.0,0.0,917806
108,2023-10,유성구,1,41,249,18,228,192.0058592855958,31.0,0.0,0.0,0.0,0.0,738622
109,2023-10,중구,0,39,204,1,175,150.1341067179607,31.0,0.0,0.0,0.0,0.0,449064
110,2023-11,대덕구,0,30,184,25,157,142.9772709209404,29.0,0.0,1.0,0.0,0.0,337416
111,2023-11,동구,0,44,274,0,225,194.7748700423132,29.0,1.0,0.0,0.0,0.0,437280
112,2023-11,서구,4,132,766,28,687,578.1152566746531,29.0,0.0,1.0,0.0,0.0,917806
113,2023-11,유성구,4,41,315,30,255,232.983368505136,28.0,0.0,2.0,0.0,0.0,738622
114,2023-11,중구,3,65,333,7,264,242.981480775799,29.0,0.0,1.0,0.0,0.0,449064
115,2023-12,대덕구,2,33,158,6,133,119.6766476803223,27.0,1.0,1.0,2.0,0.0,337416
116,2023-12,동구,0,30,204,5,164,144.9284306131823,28.0,1.0,2.0,0.0,0.0,437280
117,2023-12,서구,2,95,703,9,549,488.8460902983678,29.0,0.0,2.0,0.0,0.0,917806
118,2023-12,유성구,0,38,279,27,218,203.6295656332842,28.0,1.0,2.0,0.0,0.0,738622
119,2023-12,중구,3,34,213,4,192,159.2011306492514,27.0,2.0,2.0,0.0,0.0,449064
