시군구,요일,accident_count
대전광역시 대덕구 갈전동,금요일,1
대전광역시 대덕구 대화동,금요일,13
대전광역시 대덕구 대화동,목요일,15
대전광역시 대덕구 대화동,수요일,7
대전광역시 대덕구 대화동,월요일,14
대전광역시 대덕구 대화동,토요일,4
대전광역시 대덕구 대화동,화요일,15
대전광역시 대덕구 덕암동,금요일,18
대전광역시 대덕구 덕암동,목요일,18
대전광역시 대덕구 덕암동,수요일,10
대전광역시 대덕구 덕암동,월요일,14
대전광역시 대덕구 덕암동,일요일,4
대전광역시 대덕구 덕암동,토요일,8
대전광역시 대덕구 덕암동,화요일,10
대전광역시 대덕구 목상동,금요일,14
대전광역시 대덕구 목상동,목요일,8
대전광역시 대덕구 목상동,수요일,14
대전광역시 대덕구 목상동,월요일,8
대전광역시 대덕구 목상동,일요일,5
대전광역시 대덕구 목상동,토요일,9
대전광역시 대덕구 목상동,화요일,15
대전광역시 대덕구 문평동,금요일,2
대전광역시 대덕구 문평동,목요일,6
대전광역시 대덕구 문평동,수요일,2
대전광역시 대덕구 문평동,월요일,7
대전광역시 대덕구 문평동,일요일,3
대전광역시 대덕구 문평동,토요일,6
대전광역시 대덕구 문평동,화요일,2
대전광역시 대덕구 미호동,금요일,1
대전광역시 대덕구 미호동,일요일,1
대전광역시 대덕구 미호동,토요일,1
대전광역시 대덕구 법동,금요일,21
대전광역시 대덕구 법동,목요일,21
대전광역시 대덕구 법동,수요일,23
대전광역시 대덕구 법동,월요일,15
대전광역시 대덕구 법동,일요일,17
대전광역시 대덕구 법동,토요일,14
대전광역시 대덕구 법동,화요일,14
대전광역시 대덕구 비래동,금요일,28
대전광역시 대덕구 비래동,목요일,20
대전광역시 대덕구 비래동,수요일,19
대전광역시 대덕구 비래동,월요일,12
대전광역시 대덕구 비래동,일요일,9
대전광역시 대덕구 비래동,토요일,21
대전광역시 대덕구 비래동,화요일,21
대전광역시 대덕구 삼정동,일요일,1
대전광역시 대덕구 상서동,금요일,13
대전광역시 대덕구 상서동,목요일,12
대전광역시 대덕구 상서동,수요일,4
대전광역시 대덕구 상서동,월요일,11
대전광역시 대덕구 상서동,일요일,6
대전광역시 대덕구 상서동,토요일,4
대전광역시 대덕구 상서동,화요일,12
대전광역시 대덕구 석봉동,금요일,14
대전광역시 대덕구 석봉동,목요일,13
대전광역시 대덕구 석봉동,수요일,14
대전광역시 대덕구 석봉동,월요일,8
대전광역시 대덕구 석봉동,일요일,7
대전광역시 대덕구 석봉동,토요일,14
대전광역시 대덕구 석봉동,화요일,15
대전광역시 대덕구 송촌동,금요일,22
대전광역시 대덕구 송촌동,목요일,24
대전광역시 대덕구 송촌동,수요일,22
대전광역시 대덕구 송촌동,월요일,23
대전광역시 대덕구 송촌동,일요일,15
대전광역시 대덕구 송촌동,토요일,25
대전광역시 대덕구 송촌동,화요일,19
대전광역시 대덕구 신대동,금요일,26
대전광역시 대덕구 신대동,목요일,11
대전광역시 대덕구 신대동,수요일,8
대전광역시 대덕구 신대동,월요일,12
대전광역시 대덕구 신대동,일요일,3
대전광역시 대덕구 신대동,토요일,11
대전광역시 대덕구 신대동,화요일,9
대전광역시 대덕구 신일동,금요일,10
대전광역시 대덕구 신일동,목요일,6
대전광역시 대덕구 신일동,수요일,12
대전광역시 대덕구 신일동,월요일,2
대전광역시 대덕구 신일동,일요일,2
대전광역시 대덕구 신일동,토요일,1
대전광역시 대덕구 신일동,화요일,9
대전광역시 대덕구 신탄진동,금요일,27
대전광역시 대덕구 신탄진동,목요일,18
대전광역시 대덕구 신탄진동,수요일,19
대전광역시 대덕구 신탄진동,월요일,16
대전광역시 대덕구 신탄진동,일요일,14
대전광역시 대덕구 신탄진동,토요일,23
대전광역시 대덕구 신탄진동,화요일,18
대전광역시 대덕구 연축동,금요일,2
대전광역시 대덕구 연축동,목요일,2
대전광역시 대덕구 연축동,수요일,1
대전광역시 대덕구 연축동,월요일,2
대전광역시 대덕구 연축동,화요일,2
대전광역시 대덕구 오정동,금요일,54
대전광역시 대덕구 오정동,목요일,61
대전광역시 대덕구 오정동,수요일,58
대전광역시 대덕구 오정동,월요일,59
대전광역시 대덕구 오정동,일요일,33
대전광역시 대덕구 오정동,토요일,34
대전광역시 대덕구 오정동,화요일,58
대전광역시 대덕구 와동,금요일,5
대전광역시 대덕구 와동,목요일,7
대전광역시 대덕구 와동,수요일,4
대전광역시 대덕구 와동,월요일,6
대전광역시 대덕구 와동,일요일,1
대전광역시 대덕구 와동,토요일,4
대전광역시 대덕구 와동,화요일,1
대전광역시 대덕구 용호동,일요일,1
대전광역시 대덕구 읍내동,금요일,18
대전광역시 대덕구 읍내동,목요일,15
대전광역시 대덕구 읍내동,수요일,22
대전광역시 대덕구 읍내동,월요일,23
대전광역시 대덕구 읍내동,일요일,7
대전광역시 대덕구 읍내동,토요일,15
대전광역시 대덕구 읍내동,화요일,18
대전광역시 대덕구 이현동,금요일,1
대전광역시 대덕구 중리동,금요일,39
대전광역시 대덕구 중리동,목요일,55
대전광역시 대덕구 중리동,수요일,40
대전광역시 대덕구 중리동,월요일,36
대전광역시 대덕구 중리동,일요일,21
대전광역시 대덕구 중리동,토요일,46
대전광역시 대덕구 중리동,화요일,33
대전광역시 대덕구 평촌동,금요일,7
대전광역시 대덕구 평촌동,목요일,5
대전광역시 대덕구 평촌동,수요일,4
대전광역시 대덕구 평촌동,월요일,3
대전광역시 대덕구 평촌동,일요일,3
대전광역시 대덕구 평촌동,토요일,5
대전광역시 대덕구 평촌동,화요일,6
대전광역시 동구 가양동,금요일,40
대전광역시 동구 가양동,목요일,44
대전광역시 동구 가양동,수요일,37
대전광역시 동구 가양동,월요일,41
대전광역시 동구 가양동,일요일,43
대전광역시 동구 가양동,토요일,42
대전광역시 동구 가양동,화요일,39
대전광역시 동구 가오동,금요일,19
대전광역시 동구 가오동,목요일,18
대전광역시 동구 가오동,수요일,13
대전광역시 동구 가오동,월요일,11
대전광역시 동구 가오동,일요일,7
대전광역시 동구 가오동,토요일,13
대전광역시 동구 가오동,화요일,15
대전광역시 동구 구도동,금요일,4
대전광역시 동구 구도동,목요일,8
대전광역시 동구 구도동,수요일,2
대전광역시 동구 구도동,월요일,5
대전광역시 동구 구도동,일요일,3
대전광역시 동구 구도동,토요일,1
대전광역시 동구 구도동,화요일,1
대전광역시 동구 낭월동,금요일,6
대전광역시 동구 낭월동,목요일,7
대전광역시 동구 낭월동,수요일,6
대전광역시 동구 낭월동,월요일,5
대전광역시 동구 낭월동,토요일,2
대전광역시 동구 낭월동,화요일,4
대전광역시 동구 대동,금요일,16
대전광역시 동구 대동,목요일,17
대전광역시 동구 대동,수요일,13
대전광역시 동구 대동,월요일,21
대전광역시 동구 대동,일요일,6
대전광역시 동구 대동,토요일,11
대전광역시 동구 대동,화요일,11
대전광역시 동구 대별동,금요일,1
대전광역시 동구 대별동,화요일,1
대전광역시 동구 대성동,금요일,7
대전광역시 동구 대성동,목요일,5
대전광역시 동구 대성동,수요일,7
대전광역시 동구 대성동,월요일,4
대전광역시 동구 대성동,일요일,4
대전광역시 동구 대성동,토요일,9
대전광역시 동구 대성동,화요일,9
대전광역시 동구 마산동,월요일,1
대전광역시 동구 마산동,일요일,1
대전광역시 동구 비룡동,금요일,3
대전광역시 동구 비룡동,목요일,4
대전광역시 동구 비룡동,수요일,2
대전광역시 동구 비룡동,월요일,3
대전광역시 동구 비룡동,일요일,2
대전광역시 동구 비룡동,토요일,1
대전광역시 동구 비룡동,화요일,2
대전광역시 동구 사성동,토요일,1
대전광역시 동구 삼괴동,금요일,1
대전광역시 동구 삼괴동,수요일,2
대전광역시 동구 삼괴동,월요일,4
대전광역시 동구 삼괴동,일요일,1
대전광역시 동구 삼괴동,토요일,3
대전광역시 동구 삼성동,금요일,16
대전광역시 동구 삼성동,목요일,23
대전광역시 동구 삼성동,수요일,18
대전광역시 동구 삼성동,월요일,24
대전광역시 동구 삼성동,일요일,15
대전광역시 동구 삼성동,토요일,18
대전광역시 동구 삼성동,화요일,29
대전광역시 동구 삼정동,금요일,3
대전광역시 동구 삼정동,목요일,1
대전광역시 동구 삼정동,수요일,1
대전광역시 동구 삼정동,월요일,3
대전광역시 동구 삼정동,일요일,1
대전광역시 동구 삼정동,토요일,3
대전광역시 동구 삼정동,화요일,2
대전광역시 동구 성남동,금요일,27
대전광역시 동구 성남동,목요일,21
대전광역시 동구 성남동,수요일,15
대전광역시 동구 성남동,월요일,21
대전광역시 동구 성남동,일요일,8
대전광역시 동구 성남동,토요일,14
대전광역시 동구 성남동,화요일,14
대전광역시 동구 세천동,금요일,1
대전광역시 동구 세천동,수요일,1
대전광역시 동구 세천동,월요일,3
대전광역시 동구 세천동,일요일,1
대전광역시 동구 세천동,화요일,1
대전광역시 동구 소제동,금요일,7
대전광역시 동구 소제동,목요일,6
대전광역시 동구 소제동,수요일,5
대전광역시 동구 소제동,월요일,9
대전광역시 동구 소제동,일요일,14
대전광역시 동구 소제동,토요일,22
대전광역시 동구 소제동,화요일,10
대전광역시 동구 신상동,목요일,3
대전광역시 동구 신상동,수요일,4
대전광역시 동구 신상동,월요일,1
대전광역시 동구 신상동,일요일,3
대전광역시 동구 신상동,토요일,5
대전광역시 동구 신상동,화요일,4
대전광역시 동구 신안동,금요일,1
대전광역시 동구 신안동,목요일,3
대전광역시 동구 신안동,수요일,1
대전광역시 동구 신안동,월요일,3
대전광역시 동구 신안동,일요일,1
대전광역시 동구 신안동,토요일,1
대전광역시 동구 신안동,화요일,1
대전광역시 동구 신촌동,화요일,1
대전광역시 동구 신하동,금요일,2
대전광역시 동구 신하동,수요일,1
대전광역시 동구 신하동,토요일,1
대전광역시 동구 신흥동,금요일,3
대전광역시 동구 신흥동,목요일,6
대전광역시 동구 신흥동,수요일,5
대전광역시 동구 신흥동,월요일,8
대전광역시 동구 신흥동,일요일,9
대전광역시 동구 신흥동,토요일,8
대전광역시 동구 신흥동,화요일,6
대전광역시 동구 용운동,금요일,14
대전광역시 동구 용운동,목요일,11
대전광역시 동구 용운동,수요일,12
대전광역시 동구 용운동,월요일,17
대전광역시 동구 용운동,일요일,15
대전광역시 동구 용운동,토요일,11
대전광역시 동구 용운동,화요일,11
대전광역시 동구 용전동,금요일,46
대전광역시 동구 용전동,목요일,41
대전광역시 동구 용전동,수요일,40
대전광역시 동구 용전동,월요일,46
대전광역시 동구 용전동,일요일,42
대전광역시 동구 용전동,토요일,36
대전광역시 동구 용전동,화요일,32
대전광역시 동구 원동,금요일,11
대전광역시 동구 원동,목요일,10
대전광역시 동구 원동,수요일,8
대전광역시 동구 원동,월요일,7
대전광역시 동구 원동,일요일,5
대전광역시 동구 원동,토요일,11
대전광역시 동구 원동,화요일,6
대전광역시 동구 이사동,수요일,1
대전광역시 동구 인동,금요일,18
대전광역시 동구 인동,목요일,8
대전광역시 동구 인동,수요일,11
대전광역시 동구 인동,월요일,7
대전광역시 동구 인동,일요일,6
대전광역시 동구 인동,토요일,7
대전광역시 동구 인동,화요일,13
대전광역시 동구 자양동,금요일,18
대전광역시 동구 자양동,목요일,11
대전광역시 동구 자양동,수요일,16
대전광역시 동구 자양동,월요일,16
대전광역시 동구 자양동,일요일,10
대전광역시 동구 자양동,토요일,18
대전광역시 동구 자양동,화요일,18
대전광역시 동구 정동,금요일,14
대전광역시 동구 정동,목요일,7
대전광역시 동구 정동,수요일,9
대전광역시 동구 정동,월요일,14
대전광역시 동구 정동,일요일,6
대전광역시 동구 정동,토요일,11
대전광역시 동구 정동,화요일,10
대전광역시 동구 주산동,목요일,1
대전광역시 동구 주산동,월요일,1
대전광역시 동구 주산동,일요일,1
대전광역시 동구 중동,금요일,9
대전광역시 동구 중동,목요일,8
대전광역시 동구 중동,수요일,13
대전광역시 동구 중동,월요일,15
대전광역시 동구 중동,일요일,16
대전광역시 동구 중동,토요일,13
대전광역시 동구 중동,화요일,8
대전광역시 동구 천동,금요일,4
대전광역시 동구 천동,목요일,1
대전광역시 동구 천동,수요일,3
대전광역시 동구 천동,월요일,9
대전광역시 동구 천동,토요일,1
대전광역시 동구 천동,화요일,3
대전광역시 동구 추동,토요일,1
대전광역시 동구 추동,화요일,2
대전광역시 동구 판암동,금요일,24
대전광역시 동구 판암동,목요일,16
대전광역시 동구 판암동,수요일,22
대전광역시 동구 판암동,월요일,25
대전광역시 동구 판암동,일요일,8
대전광역시 동구 판암동,토요일,22
대전광역시 동구 판암동,화요일,19
대전광역시 동구 하소동,목요일,1
대전광역시 동구 하소동,일요일,2
대전광역시 동구 홍도동,금요일,18
대전광역시 동구 홍도동,목요일,9
대전광역시 동구 홍도동,수요일,14
대전광역시 동구 홍도동,월요일,13
대전광역시 동구 홍도동,일요일,6
대전광역시 동구 홍도동,토요일,15
대전광역시 동구 홍도동,화요일,9
대전광역시 동구 효동,금요일,5
대전광역시 동구 효동,목요일,7
대전광역시 동구 효동,월요일,1
대전광역시 동구 효동,일요일,4
대전광역시 동구 효동,토요일,5
대전광역시 동구 효동,화요일,2
대전광역시 서구 가수원동,금요일,18
대전광역시 서구 가수원동,목요일,16
대전광역시 서구 가수원동,수요일,16
대전광역시 서구 가수원동,월요일,21
대전광역시 서구 가수원동,일요일,7
대전광역시 서구 가수원동,토요일,16
대전광역시 서구 가수원동,화요일,17
대전광역시 서구 가장동,금요일,17
대전광역시 서구 가장동,목요일,17
대전광역시 서구 가장동,수요일,16
대전광역시 서구 가장동,월요일,15
대전광역시 서구 가장동,일요일,4
대전광역시 서구 가장동,토요일,10
대전광역시 서구 가장동,화요일,17
대전광역시 서구 갈마동,금요일,88
대전광역시 서구 갈마동,목요일,83
대전광역시 서구 갈마동,수요일,89
대전광역시 서구 갈마동,월요일,88
대전광역시 서구 갈마동,일요일,78
대전광역시 서구 갈마동,토요일,86
대전광역시 서구 갈마동,화요일,87
대전광역시 서구 관저동,금요일,46
대전광역시 서구 관저동,목요일,43
대전광역시 서구 관저동,수요일,40
대전광역시 서구 관저동,월요일,52
대전광역시 서구 관저동,일요일,33
대전광역시 서구 관저동,토요일,36
대전광역시 서구 관저동,화요일,46
대전광역시 서구 괴곡동,금요일,2
대전광역시 서구 괴곡동,목요일,2
대전광역시 서구 괴곡동,수요일,3
대전광역시 서구 괴곡동,일요일,2
대전광역시 서구 괴곡동,화요일,3
대전광역시 서구 괴정동,금요일,49
대전광역시 서구 괴정동,목요일,44
대전광역시 서구 괴정동,수요일,36
대전광역시 서구 괴정동,월요일,45
대전광역시 서구 괴정동,일요일,38
대전광역시 서구 괴정동,토요일,32
대전광역시 서구 괴정동,화요일,46
대전광역시 서구 내동,금요일,22
대전광역시 서구 내동,목요일,16
대전광역시 서구 내동,수요일,16
대전광역시 서구 내동,월요일,22
대전광역시 서구 내동,일요일,12
대전광역시 서구 내동,토요일,17
대전광역시 서구 내동,화요일,16
대전광역시 서구 도마동,금요일,49
대전광역시 서구 도마동,목요일,47
대전광역시 서구 도마동,수요일,60
대전광역시 서구 도마동,월요일,51
대전광역시 서구 도마동,일요일,24
대전광역시 서구 도마동,토요일,56
대전광역시 서구 도마동,화요일,46
대전광역시 서구 도안동,금요일,45
대전광역시 서구 도안동,목요일,35
대전광역시 서구 도안동,수요일,38
대전광역시 서구 도안동,월요일,49
대전광역시 서구 도안동,일요일,18
대전광역시 서구 도안동,토요일,37
대전광역시 서구 도안동,화요일,27
대전광역시 서구 둔산동,금요일,158
대전광역시 서구 둔산동,목요일,162
대전광역시 서구 둔산동,수요일,151
대전광역시 서구 둔산동,월요일,131
대전광역시 서구 둔산동,일요일,96
대전광역시 서구 둔산동,토요일,166
대전광역시 서구 둔산동,화요일,143
대전광역시 서구 만년동,금요일,31
대전광역시 서구 만년동,목요일,22
대전광역시 서구 만년동,수요일,18
대전광역시 서구 만년동,월요일,23
대전광역시 서구 만년동,일요일,15
대전광역시 서구 만년동,토요일,18
대전광역시 서구 만년동,화요일,19
대전광역시 서구 매노동,수요일,1
대전광역시 서구 매노동,월요일,2
대전광역시 서구 매노동,토요일,1
대전광역시 서구 변동,금요일,20
대전광역시 서구 변동,목요일,24
대전광역시 서구 변동,수요일,25
대전광역시 서구 변동,월요일,19
대전광역시 서구 변동,일요일,15
대전광역시 서구 변동,토요일,18
대전광역시 서구 변동,화요일,20
대전광역시 서구 복수동,금요일,13
대전광역시 서구 복수동,목요일,9
대전광역시 서구 복수동,수요일,18
대전광역시 서구 복수동,월요일,14
대전광역시 서구 복수동,일요일,6
대전광역시 서구 복수동,토요일,13
대전광역시 서구 복수동,화요일,13
대전광역시 서구 산직동,토요일,1
대전광역시 서구 산직동,화요일,1
대전광역시 서구 오동,월요일,1
대전광역시 서구 오동,일요일,1
대전광역시 서구 용문동,금요일,36
대전광역시 서구 용문동,목요일,34
대전광역시 서구 용문동,수요일,32
대전광역시 서구 용문동,월요일,27
대전광역시 서구 용문동,일요일,20
대전광역시 서구 용문동,토요일,37
대전광역시 서구 용문동,화요일,37
대전광역시 서구 용촌동,수요일,1
대전광역시 서구 우명동,목요일,2
대전광역시 서구 원정동,금요일,1
대전광역시 서구 원정동,토요일,1
대전광역시 서구 월평동,금요일,78
대전광역시 서구 월평동,목요일,66
대전광역시 서구 월평동,수요일,77
대전광역시 서구 월평동,월요일,67
대전광역시 서구 월평동,일요일,57
대전광역시 서구 월평동,토요일,69
대전광역시 서구 월평동,화요일,64
대전광역시 서구 장안동,목요일,1
대전광역시 서구 장안동,월요일,1
대전광역시 서구 장안동,일요일,3
대전광역시 서구 정림동,금요일,17
대전광역시 서구 정림동,목요일,18
대전광역시 서구 정림동,수요일,11
대전광역시 서구 정림동,월요일,12
대전광역시 서구 정림동,일요일,16
대전광역시 서구 정림동,토요일,14
